1513067033,66,0,1,0
1513067034,142,244,1,2
1513067035,0,0,0,0
1513067036,560,560,8,8
1513067037,0,0,0,0
1513067038,0,0,0,0
1513067039,142,244,1,2
1513067040,0,0,0,0
1513067041,296,560,4,8
1513067043,0,0,0,0
1513067044,0,0,0,0
1513067045,3442,2748,20,21
1513067046,578,650,7,9
1513067047,3522,2792,22,23
1513067048,578,650,7,9
1513067049,3300,2372,19,17
1513067050,720,894,8,11
1513067051,3440,2512,21,19
1513067052,644,724,8,10
1513067053,74,66,1,1
1513067054,140,74,2,1
1513067055,216,450,2,5
1513067056,140,74,2,1
1513067057,2088,1544,14,12
1513067058,0,0,0,0
1513067059,2022,1544,13,12
1513067060,216,384,2,4
1513067061,2022,1544,13,12
1513067062,140,140,2,2
1513067063,779,517,5,4
1513067064,1243,1027,8,8
1513067065,216,384,2,4
1513067066,140,140,2,2
1513067067,74,140,1,2
1513067068,2164,1558,13,11
1513067069,140,140,2,2
1513067070,2380,1942,15,15
1513067071,140,140,2,2
1513067072,2304,1698,15,13
1513067073,0,0,0,0
1513067074,773,668,6,7
1513067075,1879,1414,13,10
1513067076,140,140,2,2
1513067077,2520,1852,16,14
1513067078,0,0,0,0
1513067079,2596,2096,16,16
1513067080,74,140,1,2
1513067081,988,802,8,7
1513067082,1743,1194,11,9
1513067083,0,0,0,0
1513067084,2601,2100,16,16
1513067085,140,140,2,2
1513067086,3770,2734,20,19
1513067087,140,140,2,2
1513067088,3913,2749,20,18
1513067089,216,384,2,4
1513067090,4269,3043,23,21
1513067091,140,140,2,2
1513067092,4203,3043,22,21
1513067093,0,0,0,0
1513067094,4627,3441,25,24
1513067095,74,140,1,2
1513067096,4702,3352,25,23
1513067097,74,140,1,2
1513067098,209,66,1,1
1513067099,282,384,3,4
1513067100,74,140,1,2
1513067101,74,140,1,2
1513067102,206,767,3,3
1513067103,0,0,0,0
1513067104,216,384,2,4
1513067105,74,140,1,2
1513067106,74,140,1,2
1513067107,140,140,2,2
1513067108,0,0,0,0
1513067109,216,384,2,4
1513067110,140,140,2,2
1513067111,140,140,2,2
1513067112,74,140,1,2
1513067113,0,0,0,0
1513067114,216,384,2,4
1513067115,349,206,3,3
1513067116,140,140,2,2
1513067117,74,140,1,2
1513067118,0,0,0,0
1513067120,491,1077,4,6
1513067121,74,140,1,2
1513067122,140,140,2,2
1513067123,74,140,1,2
1513067124,209,693,1,2
1513067125,282,384,3,4
1513067126,74,140,1,2
1513067127,140,140,2,2
1513067128,206,770,3,3
