1513067032    Linux 3.16.0-4-amd64 (worker1) 	12/12/17 	_x86_64_	(1 CPU) 
1513067033     
1513067033    02:23:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513067090    02:24:50     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067091    02:24:51     all    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067092    02:24:52     all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96 
1513067093    02:24:53     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067094    02:24:54     all    0.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   95.00 
1513067095    02:24:55     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067096    02:24:56     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067097    02:24:57     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067098    02:24:58     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067099    02:24:59     all    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97 
1513067100    02:25:00     all    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067101    02:25:01     all    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067102    02:25:02     all    1.01    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   95.96 
1513067103    02:25:03     all    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513067104    02:25:04     all    0.00    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   97.96 
1513067105    02:25:05     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067106    02:25:06     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513067107    02:25:07     all    2.02    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   95.96 
1513067108    02:25:08     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067109    02:25:09     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067110    02:25:10     all    1.00    0.00    2.00    1.00    0.00    1.00    0.00    0.00    0.00   95.00 
1513067111    02:25:11     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067112    02:25:12     all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513067113    02:25:13     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067114    02:25:14     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067115    02:25:15     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067116    02:25:16     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067117    02:25:17     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
