1513129859    Linux 3.16.0-4-amd64 (worker2) 	12/12/17 	_x86_64_	(1 CPU) 
1513129860     
1513129860    19:50:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513129917    19:51:57     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129918    19:51:58     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129919    19:51:59     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513129920    19:52:00     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129921    19:52:01     all    1.01    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   95.96 
1513129922    19:52:02     all    1.98    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   93.07 
1513129923    19:52:03     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129924    19:52:04     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129925    19:52:05     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129926    19:52:06     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513129927    19:52:07     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129928    19:52:08     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129929    19:52:09     all    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129930    19:52:10     all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513129931    19:52:11     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513129932    19:52:12     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129933    19:52:13     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129934    19:52:14     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129935    19:52:15     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129936    19:52:16     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129937    19:52:17     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129938    19:52:18     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129939    19:52:19     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129940    19:52:20     all    1.96    0.00    5.88    0.00    0.00    0.98    0.00    0.00    0.00   91.18 
1513129941    19:52:21     all    9.38    0.00   14.58    0.00    0.00    1.04    0.00    0.00    0.00   75.00 
1513129942    19:52:22     all    5.00    0.00   12.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00 
1513129943    19:52:23     all    5.38    0.00    9.68    0.00    0.00    0.00    0.00    0.00    0.00   84.95 
1513129944    19:52:24     all    5.21    0.00   11.46    0.00    0.00    2.08    0.00    0.00    0.00   81.25 
