1513129859    Linux 3.16.0-4-amd64 (worker1) 	12/12/17 	_x86_64_	(1 CPU) 
1513129860     
1513129860    19:50:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513129860    19:51:00     all    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94 
1513129861    19:51:01     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513129862    19:51:02     all    2.06    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   93.81 
1513129863    19:51:03     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129864    19:51:04     all    1.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129865    19:51:05     all   11.58    0.00   12.63    1.05    0.00    0.00    0.00    0.00    0.00   74.74 
1513129866    19:51:06     all    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96 
1513129867    19:51:07     all    5.10    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   89.80 
1513129868    19:51:08     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129869    19:51:09     all    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90 
1513129870    19:51:10     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129871    19:51:11     all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96 
1513129872    19:51:12     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129873    19:51:13     all    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94 
1513129874    19:51:14     all    1.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513129875    19:51:15     all    0.00    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   95.96 
1513129876    19:51:16     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129877    19:51:17     all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96 
1513129878    19:51:18     all    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   96.91 
1513129879    19:51:19     all    2.04    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   92.86 
1513129880    19:51:20     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129881    19:51:21     all    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81 
1513129882    19:51:22     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129883    19:51:23     all    2.04    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   92.86 
1513129884    19:51:24     all    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00 
