1513035513    Linux 3.16.0-4-amd64 (worker2) 	12/11/17 	_x86_64_	(1 CPU) 
1513035514     
1513035514    17:38:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513035571    17:39:31     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513035572    17:39:32     all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513035573    17:39:33     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513035574    17:39:34     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513035575    17:39:35     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513035576    17:39:36     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035577    17:39:37     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035578    17:39:38     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513035579    17:39:39     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513035580    17:39:40     all    1.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00 
1513035581    17:39:41     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513035582    17:39:42     all    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94 
1513035583    17:39:43     all    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94 
1513035584    17:39:44     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513035585    17:39:45     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513035586    17:39:46     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513035587    17:39:47     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513035588    17:39:48     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035589    17:39:49     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513035590    17:39:50     all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513035591    17:39:51     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513035592    17:39:52     all    1.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513035593    17:39:53     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513035594    17:39:54     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
