1513110864    Linux 3.16.0-4-amd64 (worker2) 	12/12/17 	_x86_64_	(1 CPU) 
1513110865     
1513110865    14:34:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513110865    14:34:25     all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94 
1513110866    14:34:26     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513110867    14:34:27     all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513110868    14:34:28     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513110869    14:34:29     all    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97 
1513110870    14:34:30     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513110871    14:34:31     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513110872    14:34:32     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513110873    14:34:33     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513110874    14:34:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00 
1513110875    14:34:35     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513110876    14:34:36     all    6.06    0.00    6.06    1.01    0.00    0.00    0.00    0.00    0.00   86.87 
1513110877    14:34:37     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513110878    14:34:38     all    4.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00 
1513110879    14:34:39     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513110880    14:34:40     all    5.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00 
